LotArea,YearBuilt,GarageArea,SalePrice
13214,2008,746,378500
14100,1935,1014,381000
11344,1958,315,144000
23595,1979,586,260000
9156,1968,462,185750
13526,1965,288,137000
11512,1959,312,177000
5362,1910,552,139000
11345,1948,400,137000
12936,1972,497,162000
17871,1967,480,197900
9473,2002,577,237000
7500,1920,528,68400
9808,2002,544,227000
8049,1990,484,180000
8800,1977,484,150500
9400,1971,0,139000
9638,1919,336,169000
6000,1939,280,132500
9790,1963,528,143000
36500,1964,390,190000
5664,2000,499,278000
11065,2006,753,281000
14112,1964,484,180500
1680,1972,264,119500
6600,1892,432,107500
10140,1976,528,162900
8172,1955,572,115000
8400,1968,288,138500
8700,1963,525,155000
3675,2005,525,140000
63887,2008,1418,160000
7500,1959,305,154000
10762,1999,490,225000
7500,1942,213,177500
10120,1994,844,290000
8688,2005,834,232000
3363,2004,380,130000
13173,2006,840,325000
6955,2005,474,202500
8072,1994,480,138000
12000,1948,528,147000
7153,1991,496,179200
17500,1959,567,335000
8814,2005,508,203000
9572,1990,750,302000
14774,1999,779,333168
8190,1954,280,119000
11075,1969,576,206900
10226,2008,860,295493
4230,2006,466,208900
14781,2001,748,275000
10215,1954,248,111000
8400,1957,442,156500
6627,1949,287,72500
10186,1992,564,190000
5330,1940,0,82500
9986,2006,895,147000
3636,1922,0,55000
4270,1931,0,79000
6600,1982,264,130500
10440,1920,520,256000
9084,1998,462,176500
10000,2006,825,227000
10780,1976,576,132500
8877,1938,288,100000
7200,1938,297,125500
2368,1970,440,125000
9650,1977,630,167900
9246,1973,506,135000
4118,1941,0,52500
13450,2002,492,200000
9560,1972,288,128500
8294,1971,480,123000
13695,2003,576,155000
9375,2002,647,228500
7558,1928,342,177000
11103,2006,440,155835
6000,1920,308,108500
20781,1968,508,262500
15306,2006,712,283463
16196,1998,514,215000
5250,1872,0,122000
11643,1969,968,200000
9247,1962,490,171000
6000,1937,624,134900
14720,1995,666,410000
10316,2000,839,235000
10192,1968,487,170000
9477,1966,264,110000
12537,1971,500,149900
2117,2000,440,177500
16737,2004,770,315000
9842,1921,621,189000
16158,2005,430,260000
12513,1920,368,104900
8499,2006,432,156932
3180,2005,480,144152
7500,2000,663,216000
9179,1999,588,193000
2665,1977,336,127000
4435,2003,420,144000
10635,2003,502,232000
5400,1920,338,105000
9600,1955,377,165500
9750,1998,583,274300
11400,2001,804,466500
10625,2005,936,250000
10991,2007,722,239000
6292,1930,160,91000
10998,1941,660,117000
1953,1973,264,83000
9735,2006,400,167500
8212,1914,200,58500
12925,1970,550,237500
7200,1920,576,157000
25339,1918,576,112000
9060,1939,280,105000
5436,1922,240,125500
16692,1978,564,250000
8520,1916,216,136000
14892,2006,758,377500
6000,1941,440,131000
9100,2000,541,235000
8944,1967,792,124000
7838,1967,288,123000
10800,1905,672,163000
4045,2006,648,246578
12665,2005,642,281213
57200,1948,572,160000
6120,1920,180,137500
7200,1950,240,138000
6171,1925,216,137450
6000,1929,208,120000
7415,2004,398,193000
6762,2006,662,193879
15256,2007,754,282922
10410,1915,936,105000
3842,2004,482,275000
8445,1972,396,133000
8780,1985,0,112000
7740,1910,528,125500
20544,1986,542,215000
12420,2001,622,230000
9600,1950,271,140000
7200,1949,420,90000
10994,2005,620,257000
13053,1923,370,207000
3635,2007,660,175900
11340,1885,560,122500
16545,1998,1069,340000
9204,1963,336,124000
16381,1969,540,223000
11700,1968,776,179900
4043,1977,440,127500
4435,2003,420,136500
19690,1966,432,274970
9503,1958,484,144000
10721,1959,528,142000
10944,1994,525,271000
10930,1945,288,140000
7200,1940,240,119000
12546,1981,467,182900
21930,2005,372,192140
4928,1976,440,143750
10800,1927,216,64500
10261,2000,451,186500
17400,1977,484,160000
8400,1962,462,174000
9000,1971,528,120500
12444,2008,774,394617
7407,1957,923,149700
11584,1979,550,197000
11526,1922,672,191000
4426,2004,420,149300
11003,2008,812,310000
8854,1916,192,121000
8500,2004,626,179600
8400,1966,240,129000
26142,1962,312,157900
10000,1995,556,240000
11767,1910,384,112000
1533,1970,0,92000
9000,1974,0,136000
9262,2008,840,287090
3675,2005,525,145000
17217,2006,0,84500
7500,2004,400,185000
7917,1999,460,175000
13175,1978,500,210000
9042,1941,252,266500
9717,1950,240,142125
9937,1965,276,147500
